retailer,affiliate_network,quality,category,category_group,is_merchant_active,is_merchant_monetized,avg_cpa_in,avg_margin_eur,avg_revenue_eur,avg_gmv_eur,avg_cb_total_eur,total_transactions,months_with_data,margin_alert
Leo Express,Commission Junction,E,not_attributed,not_attributed,True,,14.0,0.0,5.79,41.33,5.79,1,1,False
Leroy Merlin,Commission Junction,AA+,Home & Garden,Multi-Category,True,True,3.9,-1.87,72.01,1959.35,73.88,106,11,True
Lidl,Tradedoubler,A,Food & Drink,Lifestyle,True,True,1.75,87.15,338.5,6730.72,251.36,215,6,False
Lookfantastic,AWIN,C,Health & Beauty,Multi-Category,True,True,4.8,-0.44,2.2,45.38,2.64,2,1,True
Mamyito,Tradedoubler,D,not_attributed,not_attributed,True,True,5.0,0.14,4.0,81.08,3.86,7,4,False
Mango Outlet,Rakuten,B,Fashion,Fashion,True,True,7.67,-5.93,26.52,267.46,30.96,8,3,True
Marilyn,Webgains,D,Fashion,Fashion,True,,6.0,0.0,26.7,444.95,26.7,3,3,False
Max Elektro,Tradedoubler,B,Appliance,Technology,True,,4.0,22.62,94.36,2358.83,71.74,6,5,False
Maxi Zoo,AWIN,C,Pets,Lifestyle,True,,3.16,-21.14,454.0,14710.22,475.14,819,7,True
MebleMWM,Tradedoubler,B,Home & Garden,Multi-Category,True,,6.4,620.96,1160.63,18134.91,539.67,47,7,False
MediaMarkt,Tradedoubler,AA+,Electronics,Technology,True,True,2.22,-45.06,65.74,2971.46,110.8,72,9,True
Medicine,AWIN,A+,Fashion,Fashion,True,True,6.0,2.69,5.69,94.87,3.0,10,4,False
Merkury Market,Tradetracker,A,Home & Garden,Multi-Category,True,True,3.5,0.0,166.28,4750.86,130.32,16,4,False
Modivo,Tradedoubler,AAA,Fashion,Fashion,True,,4.89,-0.92,12.81,282.82,13.73,31,9,True
Mountain Warehouse,AWIN,B,Fashion,Fashion,True,,6.0,0.0,8.67,144.46,8.67,1,1,False
NEONAIL,AWIN,B,Health & Beauty,Multi-Category,True,,7.0,0.0,1.34,19.15,1.34,1,1,False
New Balance,AWIN,A,Sport Fashion,Fashion,True,,5.38,-4.28,8.9,191.22,10.04,10,5,True
Nike,No Affiliate Network,B,Sport Fashion,Fashion,True,False,3.0,-8.71,8.09,269.7,16.8,15,4,True
NordVPN,AWIN,A,Connectivity - Telco,Services,True,True,40.0,0.0,24.54,61.36,24.54,2,2,False
Notino,Commission Junction,AAA,Health & Beauty,Multi-Category,True,,4.1,-15.19,286.91,6052.21,302.1,124,8,True
Novakid,Commission Junction,C,Baby & Child,Multi-Category,True,True,0.0,0.0,0.0,0.0,0.0,4,2,False
OBI,Commission Junction,A,Home & Garden,Multi-Category,True,True,5.0,15.79,65.1,1302.61,49.31,23,5,False
OleOle!,Tradedoubler,A,Electronics,Technology,True,,2.24,100.49,249.32,11649.36,148.82,25,7,False
Olimp Store,Admitad,B,Health & Beauty,Multi-Category,True,True,4.2,0.51,2.68,64.04,1.42,3,2,False
Orange,Tradedoubler,A+,Connectivity - Telco,Services,True,,18469.46,1.46,148.15,0.66,146.69,15,5,False
Orange Store,Tradedoubler,B,not_attributed,not_attributed,False,True,2.1,4.58,84.37,3998.12,79.79,4,1,False
PRM,Commission Junction,A,Fashion,Fashion,True,True,10.0,11.94,36.98,369.78,25.04,8,4,False
Pan Materac,Tradedoubler,A,Home & Garden,Multi-Category,True,True,8.0,-1.17,412.35,5154.34,413.52,13,6,True
Peek & Cloppenburg,AWIN,B,Fashion,Fashion,True,True,3.0,0.98,3.82,127.49,2.84,4,3,False
Perfumy.pl,AWIN,C,Health & Beauty,Multi-Category,True,True,3.8,2.3,19.25,338.93,16.95,3,3,False
Petkarma,Commission Junction,D,Pets,Lifestyle,True,,5.0,0.0,36.74,734.77,36.74,2,2,False
Philips,Tradedoubler,A,Appliance,Technology,True,True,3.5,12.69,14.42,412.04,1.73,4,1,False
Play,Tradedoubler,D,Connectivity - Telco,Services,True,True,234.4,-0.61,116.64,49.76,117.25,2,1,True
Przyjaciele Kawy,Tradedoubler,B,Food & Drink,Lifestyle,True,True,5.0,1088.78,1551.56,32426.35,462.78,34,5,False
Puma,Commission Junction,C,Sport Fashion,Fashion,True,True,6.0,0.0,104.7,1744.96,104.7,3,3,False
Pyszne.pl,AWIN,A,Food & Drink,Lifestyle,True,,3.3,-56.14,12.42,389.51,68.56,170,9,True
RTV Euro AGD,Tradedoubler,AAA,Electronics,Technology,True,True,2.44,-79.3,129.32,6188.47,208.63,144,9,True
Radisson Hotels,Tradedoubler,D,Hotel & Accommodations,Travel,True,,8.0,100.43,231.52,2894.09,131.1,3,2,False
Regatta,Webgains,B,Sport Fashion,Fashion,True,True,7.45,-2.17,261.77,2659.02,263.95,13,2,True
Remix,Webgains,E,Fashion,Fashion,True,True,4.5,0.0,4.61,102.42,4.61,1,1,False
Renee,Tradedoubler,A+,Fashion,Fashion,True,True,6.0,-0.06,14.21,236.8,14.26,9,5,True
Rocketjobs.pl,Admitad,F,not_attributed,not_attributed,True,,0.0,1.1,5.79,0.0,4.68,1,1,False
Samsung,AWIN,A+,Appliance,Technology,True,True,4.5,5.06,49.92,1256.95,44.86,4,4,False
Senpo.pl,No Affiliate Network,E,Home & Garden,Multi-Category,True,False,9.6,-34.34,758.17,7916.93,792.51,14,3,True
Sephora,AWIN,A+,Fashion,Fashion,True,True,3.53,-1.73,6.28,161.83,8.0,21,9,True
Sferis,Tradedoubler,A+,Electronics,Technology,True,,1.96,0.21,31.36,1542.74,31.15,7,5,False
Shark,No Affiliate Network,E,Home & Garden,Multi-Category,True,False,7.5,263.09,395.26,6362.56,132.18,4,2,False
SharkNinja,AWIN,D,Home & Garden,Multi-Category,True,True,7.62,269.32,333.01,4205.38,63.7,12,6,False
SHEIN,Commission Junction,A,Fashion,Fashion,True,True,3.68,-8.66,27.71,619.91,36.37,196,10,True
Sinsay,No Affiliate Network,AA+,Fashion,Fashion,True,,8.0,0.67,3.27,40.89,2.6,1,1,False
SkyShowtime,AWIN,B,not_attributed,not_attributed,True,,116.92,-75.02,85.24,48.97,160.26,28,4,True
SportStyleStory,Tradedoubler,C,Sport Fashion,Fashion,True,True,6.0,2.28,256.72,4278.7,254.44,13,5,False
Streetstyle24,AWIN,B,Bags & Accessories,Fashion,True,,6.9,67.64,344.27,4974.98,276.62,12,4,False
Stylevana,Admitad,E,not_attributed,not_attributed,True,True,7.2,7.98,11.88,165.58,3.9,2,1,False
Sun & Snow,Webgains,B,Tourism & Attraction,Travel,True,,7.0,4.87,13.64,194.79,8.76,1,1,False
Tagomago,Admitad,B,Health & Beauty,Multi-Category,True,,4.6,-0.17,1.81,36.34,1.98,2,2,True
Tefal,Tradedoubler,B,Home & Garden,Multi-Category,True,False,7.8,0.83,2.36,30.39,1.53,1,1,False
Temu,Impact Radius,AAA,Multi-Departments,Multi-Category,True,True,13.05,97.07,1054.13,6846.3,957.06,3695,11,False
Tescoma,Commission Junction,E,Home & Garden,Multi-Category,True,False,7.0,33.66,67.32,961.78,33.66,1,1,False
Teufel,Rakuten,D,Electronics,Technology,True,True,4.0,0.0,47.54,1188.58,47.54,2,2,False
Top Secret,No Affiliate Network,E,Fashion,Fashion,True,,7.0,0.0,24.78,354.08,24.78,2,2,False
Trip.com,Admitad,E,not_attributed,not_attributed,True,,4.03,14.88,63.56,1845.76,48.68,14,4,False
Ucando,Tradetracker,D,Automotive,Lifestyle,True,,4.0,0.0,6.09,152.21,6.09,1,1,False
Udemy,Impact Radius,B,Business / Office,Technology,True,,18.7,0.0,2.25,11.47,2.25,8,4,False
Under Armour,Impact Radius,C,Sport Fashion,Fashion,True,,6.0,0.0,5.48,91.28,5.48,1,1,False
Van Graaf,Tradedoubler,D,Fashion,Fashion,True,True,9.6,47.84,130.25,1415.47,82.41,5,5,False
Victoria's Secret,Webgains,B,Fashion,Fashion,True,True,4.5,2.95,3.58,72.7,0.64,4,2,False
VidaXL,Tradetracker,B,Health & Beauty,Multi-Category,True,,2.9,0.0,3.01,103.8,1.14,2,2,False
Vision Express,Commission Junction,B,Bags & Accessories,Fashion,True,,5.0,-0.51,2.14,44.78,2.65,7,6,True
Vobis,Tradedoubler,A,Electronics,Technology,True,True,4.2,35.04,115.53,3132.48,80.49,11,5,False
Volcano,No Affiliate Network,C,Fashion,Fashion,True,False,7.0,-0.57,233.63,3337.6,234.2,1,1,True
Wolt,No Affiliate Network,C,Food & Drink,Lifestyle,True,False,14.1,-0.3,2.18,17.76,2.48,4,4,True
Your KAYA,Tradetracker,E,Health & Beauty,Multi-Category,True,True,7.0,0.3,3.66,52.18,3.35,2,2,False
Yves Rocher,Commission Junction,C,Health & Beauty,Multi-Category,True,True,5.0,0.0,2.5,50.14,2.5,2,2,False
Lounge by Zalando,AWIN,AAA,Fashion,Fashion,True,,4.55,11.13,73.75,1688.64,62.62,256,11,False
Zwieger,Tradedoubler,E,Home & Garden,Multi-Category,True,,4.0,3.44,14.07,351.77,10.63,1,1,False
Adidas,AWIN,AA+,Sport Fashion,Fashion,True,True,4.16,9.43,15.01,451.34,5.58,76,10,False
e-torty,Tradedoubler,E,not_attributed,not_attributed,True,True,15.0,2.3,9.08,60.56,3.68,4,2,False
eSky,Admitad,B,Travel agencies,Travel,True,,3.5,0.0,24.86,710.21,24.86,5,5,False
eobuwie,Tradedoubler,AAA,Footwear,Fashion,True,True,3.38,2.63,21.04,540.81,18.4,70,10,False
home&you,Tradedoubler,A,Home & Garden,Multi-Category,True,True,5.62,3.02,25.64,416.62,22.62,32,6,False
iBOOD,Webgains,B,Multi-Departments,Multi-Category,True,,2.2,2.07,2.9,100.04,0.51,7,5,False
iDream,Tradetracker,B,Electronics,Technology,True,True,1.6,-18.12,22.69,1360.28,40.81,7,4,True
iHerb,Admitad,B,Health & Beauty,Multi-Category,True,,5.78,-8.54,10.39,164.8,18.93,17,6,True
iParts,Tradetracker,B,Automotive,Lifestyle,True,,3.5,0.0,5.69,162.49,5.69,2,2,False
lionelo,No Affiliate Network,B,not_attributed,not_attributed,True,,6.0,224.27,842.91,14048.29,618.64,32,3,False
zooplus,Tradedoubler,AA,Pets,Lifestyle,True,True,1.89,-117.06,289.06,11802.87,406.12,576,12,True
Świat supli,AWIN,B,Food & Drink,Lifestyle,True,,5.0,0.0,34.02,680.47,34.02,8,4,False
