date,retailer,igraal_slug,alerabat_rate,alerabat_rate_type,alerabat_url
2026-08-12,Ceneo,ceneo,1.32,up_to_%,https://alerabat.com/kody-promocyjne/ceneo
2026-08-12,Cobi,cobi,1.75,up_to_%,https://alerabat.com/kody-promocyjne/cobi
2026-08-12,Cocolita,cocolita,,no cashback,https://alerabat.com/kody-promocyjne/cocolita-pl
2026-08-12,Colorland,colorland,1.75,up_to_%,https://alerabat.com/kody-promocyjne/colorland
2026-08-12,Converse,converse,4.8,up_to_%,https://alerabat.com/kody-promocyjne/converse-pl
2026-08-12,Crocs,crocs,2.0,up_to_%,https://alerabat.com/kod-promocyjny/crocs-pl
2026-08-12,Cropp,cropp,3.5,up_to_%,https://alerabat.com/kod-promocyjny/cropp
2026-08-12,Cyfrowe.pl,cyfrowe.pl,1.05,up_to_%,https://alerabat.com/kod-promocyjny/cyfrowe-pl
2026-08-12,Dedoles,dedoles,,no cashback,https://alerabat.com/kody-promocyjne/dedoles
2026-08-12,DeLonghi,delonghi,3.0,up_to_%,https://alerabat.com/kody-promocyjne/delonghi
2026-08-12,Dermacol,dermacol,2.0,up_to_%,https://alerabat.com/kody-promocyjne/dermacol
2026-08-12,Desigual,desigual,4.36,up_to_%,https://alerabat.com/kod-promocyjny/desigual
2026-08-12,DHgate,dhgate,1.5,up_to_%,https://alerabat.com/kody-promocyjne/dhgate
2026-08-12,DHL,dhl,5.0,up_to_%,https://alerabat.com/kody-promocyjne/dhl
2026-08-12,Diablo Chairs,diablochairs,3.75,up_to_%,https://alerabat.com/kody-promocyjne/diablo-chairs
2026-08-12,Disney+,disneyplus,,no cashback,https://alerabat.com/kody-promocyjne/disney
2026-08-12,Drogeria.pl,drogeria.pl,,not_found,
2026-08-12,Drop,drop,,not_found,
2026-08-12,Dstreet,dstreet,4.5,up_to_%,https://alerabat.com/kody-promocyjne/dstreet-pl
2026-08-12,Dyson,dyson,2.4,up_to_%,https://alerabat.com/kody-promocyjne/dyson
2026-08-12,E-Kwiaty,e-kwiaty,3.1,up_to_%,https://alerabat.com/kody-promocyjne/e-kwiaty
2026-08-12,e-torty,e-torty,7.5,up_to_%,https://alerabat.com/kody-promocyjne/e-torty-pl
2026-08-12,eBilet,ebilet,0.4,up_to_%,https://alerabat.com/kody-promocyjne/ebilet
2026-08-12,Ecco,ecco,2.5,up_to_%,https://alerabat.com/kody-promocyjne/ecco
2026-08-12,Egmont,egmont,3.0,up_to_%,https://alerabat.com/kody-promocyjne/egmont-pl
2026-08-12,Electrolux,electrolux,2.0,up_to_%,https://alerabat.com/kody-promocyjne/electrolux
2026-08-12,Eltrox,eltrox,3.0,up_to_%,https://alerabat.com/kod-promocyjny/eltrox-pl
2026-08-12,EMP,emp,,not_found,
2026-08-12,Empik Foto,empikfoto,5.0,up_to_%,https://alerabat.com/kod-promocyjny/empikfoto-pl
2026-08-12,Endo,endo,4.5,up_to_%,https://alerabat.com/kod-rabatowy/endo
2026-08-12,eobuwie,eobuwie,3.5,up_to_%,https://alerabat.com/kod-promocyjny/eobuwie
2026-08-12,Erli,erli,2.5,up_to_%,https://alerabat.com/kody-promocyjne/erli
2026-08-12,ESET,eset,5.5,up_to_%,https://alerabat.com/kody-promocyjne/eset
2026-08-12,eSky,esky,1.75,up_to_%,https://alerabat.com/kody-promocyjne/esky-pl
2026-08-12,Estro,estro,3.5,up_to_%,https://alerabat.com/kody-promocyjne/estro
2026-08-12,Eurofirany,eurofirany,2.85,up_to_%,https://alerabat.com/kody-promocyjne/eurofirany-com-pl
2026-08-12,Euroflorist,euroflorist,6.0,up_to_%,https://alerabat.com/kod-promocyjny/euroflorist
2026-08-12,Eveline,eveline,,not_found,
2026-08-12,Eventim,eventim,1.0,up_to_%,https://alerabat.com/kody-promocyjne/eventim
2026-08-12,eZebra,ezebra,4.0,up_to_%,https://alerabat.com/kod-promocyjny/ezebra
2026-08-12,Fera,fera,2.0,up_to_%,https://alerabat.com/kod-promocyjny/fera-pl
2026-08-12,Fielmann,fielmann,4.0,up_to_%,https://alerabat.com/kody-promocyjne/fielmann
2026-08-12,Flexispot,flexispot,2.5,up_to_%,https://alerabat.com/kody-promocyjne/flexispot
2026-08-12,Flixbus,flixbus,2.5,up_to_%,https://alerabat.com/kody-promocyjne/flixbus
2026-08-12,Footdistrict,footdistrict,,not_found,
2026-08-12,Footshop,footshop,2.5,up_to_%,https://alerabat.com/kody-promocyjne/footshop-pl
2026-08-12,Foreo,foreo,3.75,up_to_%,https://alerabat.com/kody-promocyjne/foreo
2026-08-12,FotoForma,fotoforma,1.25,up_to_%,https://alerabat.com/kody-promocyjne/fotoforma
2026-08-12,G2A,g2a,1.15,up_to_%,https://alerabat.com/kody-promocyjne/g2a-com
2026-08-12,Gameseal,gameseal,1.5,up_to_%,https://alerabat.com/kody-promocyjne/gameseal
2026-08-12,Gamivo,gamivo,2.5,up_to_%,https://alerabat.com/kody-promocyjne/gamivo
2026-08-12,Geekbuying.pl,geekbuying,2.5,up_to_%,https://alerabat.com/kody-promocyjne/geekbuying
2026-08-12,GetYourGuide,getyourguide,1.15,up_to_%,https://alerabat.com/kody-promocyjne/getyourguide
2026-08-12,Giacomo Conti,giacomo,4.0,up_to_%,https://alerabat.com/kod-promocyjny/giacomo-pl
2026-08-12,GOG,gog,3.1,up_to_%,https://alerabat.com/kody-promocyjne/gog
2026-08-12,Gomez,gomez,3.33,up_to_%,https://alerabat.com/kody-promocyjne/gomez
2026-08-12,Green Touch,greentouch,2.75,up_to_%,https://alerabat.com/kody-promocyjne/green-touch
2026-08-12,Greenpoint,greenpoint,2.0,up_to_%,https://alerabat.com/kody-promocyjne/greenpoint
2026-08-12,Groupon,groupon,3.5,up_to_%,https://alerabat.com/kod-promocyjny/groupon
2026-08-12,Gunfire,gunfire,3.15,up_to_%,https://alerabat.com/kody-promocyjne/gunfire
2026-08-12,H&M,hm,1.0,up_to_%,https://alerabat.com/kody-promocyjne/h-m
2026-08-12,Homla,homla,2.0,up_to_%,https://alerabat.com/kody-promocyjne/homla
2026-08-12,HP,hp,3.5,up_to_%,https://alerabat.com/kody-promocyjne/hp
2026-08-12,Huawei,huawei,3.46,up_to_%,https://alerabat.com/kody-promocyjne/huawei
2026-08-12,iBOOD,ibood,2.0,up_to_%,https://alerabat.com/kody-promocyjne/ibood
2026-08-12,iDream,idream,2.17,up_to_%,https://alerabat.com/kody-promocyjne/idream
2026-08-12,iHerb,iherb,2.5,up_to_%,https://alerabat.com/kody-promocyjne/iherb
2026-08-12,IKEA,ikea,,no cashback,https://alerabat.com/kody-promocyjne/ikea
2026-08-12,Intymna,intymna,3.1,up_to_%,https://alerabat.com/kod-promocyjny/intymna-pl
2026-08-12,iParts,iparts,1.75,up_to_%,https://alerabat.com/kody-promocyjne/iparts-pl
2026-08-12,JD Sports,jdsports,2.5,up_to_%,https://alerabat.com/kody-promocyjne/jd-sports
2026-08-12,Joom,joom,7.5,up_to_%,https://alerabat.com/kody-promocyjne/joom
2026-08-12,Josera,josera,3.75,up_to_%,https://alerabat.com/kody-promocyjne/josera
2026-08-12,Justjoinit,justjoinit,,no cashback,https://alerabat.com/kody-promocyjne/justjoin-it
2026-08-12,Katalog Marzeń,katalog-marzen,,not_found,
2026-08-12,Kenwood,kenwood,3.0,up_to_%,https://alerabat.com/kody-promocyjne/kenwood
2026-08-12,KFC,kfc,2.76,up_to_%,https://alerabat.com/kody-promocyjne/kfc
2026-08-12,Kinguin,kinguin,5.0,up_to_%,https://alerabat.com/kody-promocyjne/kinguin-net
2026-08-12,Kiwi,kiwi,1.5,up_to_%,https://alerabat.com/kody-promocyjne/kiwi
2026-08-12,Komputronik,komputronik,0.95,up_to_%,https://alerabat.com/kod-promocyjny/komputronik-pl
2026-08-12,Konesso,konesso,5.0,up_to_%,https://alerabat.com/kody-promocyjne/konesso-pl
2026-08-12,Krakvet,krakvet,1.4,up_to_%,https://alerabat.com/kody-promocyjne/krakvet-pl
2026-08-12,Kubenz,kubenz,2.3,up_to_%,https://alerabat.com/kody-promocyjne/kubenz
2026-08-12,Kubota,kubota,3.45,up_to_%,https://alerabat.com/kody-promocyjne/kubota
2026-08-12,KurJerzy.pl,kurjerzy.pl,,not_found,
2026-08-12,Lacoste,lacoste,4.0,up_to_%,https://alerabat.com/kody-promocyjne/lacoste
2026-08-12,Lampy.pl,lampy,4.0,up_to_%,https://alerabat.com/kod-promocyjny/lampy-pl
2026-08-12,Legimi,legimi,7.5,up_to_%,https://alerabat.com/kody-promocyjne/legimi
2026-08-12,LEGO,lego,5.0,up_to_%,https://alerabat.com/kody-promocyjne/lego
2026-08-12,Leo Express,leoexpress,2.5,up_to_%,https://alerabat.com/kody-promocyjne/leoexpress
2026-08-12,Levi's,levis,2.5,up_to_%,https://alerabat.com/kody-promocyjne/levis
2026-08-12,LG,lg,0.25,up_to_%,https://alerabat.com/kody-promocyjne/lg
2026-08-12,Loaded,cdkeys,2.5,up_to_%,https://alerabat.com/kody-promocyjne/loaded
2026-08-12,Lokalny Rolnik,lokalnyrolnik,2.8,up_to_%,https://alerabat.com/kody-promocyjne/lokalny-rolnik
2026-08-12,Lookfantastic,lookfantastic,5.0,up_to_%,https://alerabat.com/kod-promocyjny/lookfantastic-com
2026-08-12,LOT,lot,0.75,up_to_%,https://alerabat.com/kod-promocyjny/lot
2026-08-12,Lufthansa,lufthansa,0.75,up_to_%,https://alerabat.com/kod-promocyjny/lufthansa
2026-08-12,Mamyito,mamyito,2.8,up_to_%,https://alerabat.com/kody-promocyjne/mamyito
2026-08-12,Mango Outlet,mango-outlet,0.5,up_to_%,https://alerabat.com/kody-promocyjne/mango-outlet
2026-08-12,Marilyn,marilyn,3.0,up_to_%,https://alerabat.com/kody-promocyjne/e-marilyn-pl
2026-08-12,Max Elektro,maxelektro,1.0,up_to_%,https://alerabat.com/kody-promocyjne/max-elektro
2026-08-12,Maxi Zoo,maxizoo,3.0,up_to_%,https://alerabat.com/kody-promocyjne/maxi-zoo
2026-08-12,MebleMWM,meblemwm,3.2,up_to_%,https://alerabat.com/kody-promocyjne/meble-mwm
2026-08-12,Medicine,wearmedicine,3.0,up_to_%,https://alerabat.com/kody-promocyjne/medicine
2026-08-12,Merkury Market,merkurymarket,1.75,up_to_%,https://alerabat.com/kody-promocyjne/merkury-market
2026-08-12,Michael Kors,michaelkors,1.5,up_to_%,https://alerabat.com/kody-promocyjne/michael-kors
2026-08-12,Modivo,modivo.pl,4.0,up_to_%,https://alerabat.com/kody-promocyjne/modivo
2026-08-12,ModnaKiecka.pl,modnakiecka.pl,,not_found,
2026-08-12,Morele.net,morele,5.0,up_to_%,https://alerabat.com/kod-promocyjny/morele-net
2026-08-12,Mountain Warehouse,mountainwarehouse,3.0,up_to_%,https://alerabat.com/kody-promocyjne/mountainwarehouse
2026-08-12,Mova,mova,2.5,up_to_%,https://alerabat.com/kody-promocyjne/mova
2026-08-12,MyHeritage DNA,myheritagedna,,not_found,
2026-08-12,MyProtein,myprotein,5.0,up_to_%,https://alerabat.com/kod-promocyjny/myprotein
2026-08-12,NAOKO,naoko,2.8,up_to_%,https://alerabat.com/kody-promocyjne/na-oko
2026-08-12,Neness,neness,10.0,up_to_%,https://alerabat.com/kody-promocyjne/perfumeria-neness
2026-08-12,NEONAIL,neonail,3.5,up_to_%,https://alerabat.com/kody-promocyjne/neo-nail
2026-08-12,New Balance,nbsklep,2.5,up_to_%,https://alerabat.com/kody-promocyjne/new-balance
2026-08-12,Nike,nike,5.0,up_to_%,https://alerabat.com/kody-promocyjne/nike
2026-08-12,Ninja,ninja,2.5,up_to_%,https://alerabat.com/kody-promocyjne/ninja
2026-08-12,NordVPN,nordvpn,21.97,up_to_%,https://alerabat.com/kody-promocyjne/nordvpn
2026-08-12,norton,norton,10.0,up_to_%,https://alerabat.com/kody-promocyjne/norton
2026-08-12,Notino,notino,,not_found,
2026-08-12,Novakid,novakid,5.0,up_to_%,https://alerabat.com/kody-promocyjne/novakid
2026-08-12,OleOle!,oleole,5.0,up_to_%,https://alerabat.com/kod-promocyjny/oleole-pl
2026-08-12,Olimp Store,olimp-store,2.1,up_to_%,https://alerabat.com/kody-promocyjne/olimp-store
2026-08-12,Orange,orange,5.0,up_to_%,https://alerabat.com/kod-promocyjny/orange
2026-08-12,Pan Materac,panmaterac,4.0,up_to_%,https://alerabat.com/kody-promocyjne/pan-materac
2026-08-12,Pandora,pandora,3.0,up_to_%,https://alerabat.com/kody-promocyjne/pandora
2026-08-12,Parfumdreams,parfumdreams,,no cashback,https://alerabat.com/kody-promocyjne/parfumdreams
2026-08-12,Peek & Cloppenburg,peek-and-cloppenburg,,not_found,
2026-08-12,Perfumeria,perfumeria.pl,2.5,up_to_%,https://alerabat.com/kod-promocyjny/perfumeria-pl
2026-08-12,Perfumy.pl,perfumy,3.0,up_to_%,https://alerabat.com/kody-promocyjne/perfumy-pl
2026-08-12,Petkarma,petkarma,5.0,up_to_%,https://alerabat.com/kody-promocyjne/petkarma-pl
2026-08-12,Philips,philips,3.5,up_to_%,https://alerabat.com/kody-promocyjne/philips
2026-08-12,Philips Hue,philips-hue,3.5,up_to_%,https://alerabat.com/kody-promocyjne/philips-hue
2026-08-12,Pitbull,pitbull,3.5,up_to_%,https://alerabat.com/kody-promocyjne/pitbull-shop
2026-08-12,Play,play,5.0,up_to_%,https://alerabat.com/kod-promocyjny/play
2026-08-12,Pleso,plesotherapy,5.0,up_to_%,https://alerabat.com/kody-promocyjne/pleso
2026-08-12,Plus,plus,5.0,up_to_%,https://alerabat.com/kody-promocyjne/plus
2026-08-12,Preply,preply,35.0,up_to_%,https://alerabat.com/kody-promocyjne/preply
2026-08-12,Primodo,primodo,3.1,up_to_%,https://alerabat.com/kody-promocyjne/primodo
2026-08-12,PRM,prm,2.0,up_to_%,https://alerabat.com/kody-promocyjne/prm
2026-08-12,Proton VPN,protonvpn,40.0,up_to_%,https://alerabat.com/kody-promocyjne/proton-vpn
2026-08-12,Przyjaciele Kawy,przyjacielekawy,3.55,up_to_%,https://alerabat.com/kody-promocyjne/przyjaciele-kawy
2026-08-12,Puma,puma,1.0,up_to_%,https://alerabat.com/kody-promocyjne/puma
2026-08-12,PWN,pwn,,not_found,
2026-08-12,Pyszne.pl,pyszne,1.5,up_to_%,https://alerabat.com/kod-promocyjny/pyszne-pl
2026-08-12,Radisson Hotels,radissonhotels,2.0,up_to_%,https://alerabat.com/kody-promocyjne/radisson-blu
2026-08-12,Recman,recman,,not_found,
2026-08-12,RedBull Mobile,redbullmobile,,no cashback,https://alerabat.com/kod-promocyjny/redbullmobile-pl
2026-08-12,Regatta,regatta,2.5,up_to_%,https://alerabat.com/kody-promocyjne/regatta
2026-08-12,Remix,remix,,no cashback,https://alerabat.com/kody-promocyjne/remix-second-hand
2026-08-12,Renee,renee,3.0,up_to_%,https://alerabat.com/kody-promocyjne/renee-pl
2026-08-12,Reporter Young,reporteryoung,1.75,up_to_%,https://alerabat.com/kody-promocyjne/reporter-young
2026-08-12,Rocketjobs.pl,rocketjobs,,no cashback,https://alerabat.com/kody-promocyjne/rocketjobs
2026-08-12,Ryobi,ryobi,2.0,up_to_%,https://alerabat.com/kody-promocyjne/ryobi
2026-08-12,Samsung,samsung,,not_found,
2026-08-12,SeePlaces,seeplaces,2.25,up_to_%,https://alerabat.com/kody-promocyjne/seeplaces
2026-08-12,Sferis,sferis,7.5,up_to_%,https://alerabat.com/kod-promocyjny/sferis
2026-08-12,Sinsay,sinsay,5.0,up_to_%,https://alerabat.com/kod-promocyjny/sinsay
2026-08-12,Skechers,skechers,4.25,up_to_%,https://alerabat.com/kody-promocyjne/skechers
2026-08-12,SkyShowtime,skyshowtime,5.0,up_to_%,https://alerabat.com/kody-promocyjne/skyshowtime
2026-08-12,Smyk,smyk,1.5,up_to_%,https://alerabat.com/kod-promocyjny/smyk-com
2026-08-12,Sony.pl,sony,1.5,up_to_%,https://alerabat.com/kod-promocyjny/sony-pl
2026-08-12,SportStyleStory,sportstylestory,3.0,up_to_%,https://alerabat.com/kody-promocyjne/sportstylestory
2026-08-12,Stradivarius,stradivarius,3.0,up_to_%,https://alerabat.com/kod-promocyjny/stradivarius
2026-08-12,Streetstyle24,streetstyle24,3.46,up_to_%,https://alerabat.com/kody-promocyjne/streetstyle24-pl
2026-08-12,Stylevana,stylevana,3.6,up_to_%,https://alerabat.com/kody-promocyjne/stylevana
2026-08-12,Sun & Snow,sun-and-snow,2.25,up_to_%,https://alerabat.com/kody-promocyjne/sunandsnow
2026-08-12,Surfshark,surfshark,20.0,up_to_%,https://alerabat.com/kody-promocyjne/surfshark
2026-08-12,Świat supli,swiatsupli,2.5,up_to_%,https://alerabat.com/kody-promocyjne/swiat-supli
2026-08-12,Tagomago,tagomago,2.5,up_to_%,https://alerabat.com/kod-promocyjny/tagomago-pl
2026-08-12,Tefal,tefal,3.0,up_to_%,https://alerabat.com/kody-promocyjne/tefal
2026-08-12,Tescoma,tescoma,3.5,up_to_%,https://alerabat.com/kody-promocyjne/tescoma
2026-08-12,TestDNA,testdna,,no cashback,https://alerabat.com/kody-promocyjne/testdna
2026-08-12,Teufel,teufel,4.0,up_to_%,https://alerabat.com/kody-promocyjne/teufel
2026-08-12,Top Secret,topsecret,5.0,up_to_%,https://alerabat.com/kod-rabatowy/topsecret
2026-08-12,Trip.com,trip-com,,not_found,
2026-08-12,Triverna,triverna,2.4,up_to_%,https://alerabat.com/kod-promocyjny/triverna-pl
2026-08-12,Twojemeble.pl,twojemeble.pl,2.25,up_to_%,https://alerabat.com/kody-promocyjne/twojemeble-pl
2026-08-12,UBER,uber,5.0,up_to_%,https://alerabat.com/kody-promocyjne/uber
2026-08-12,Ubisoft,ubisoft,,not_found,
2026-08-12,Ucando,ucando,2.0,up_to_%,https://alerabat.com/kody-promocyjne/ucando-pl
2026-08-12,Udemy,udemy,10.0,up_to_%,https://alerabat.com/kody-promocyjne/udemy-com
2026-08-12,Under Armour,under-armour,4.0,up_to_%,https://alerabat.com/kody-promocyjne/under-armour
2026-08-12,uPacjenta,upacjenta,2.8,up_to_%,https://alerabat.com/kody-promocyjne/upacjenta
2026-08-12,Van Graaf,vangraaf,4.5,up_to_%,https://alerabat.com/kody-promocyjne/van-graaf
2026-08-12,Vans,vans,,no cashback,https://alerabat.com/kody-promocyjne/vans
2026-08-12,Vasco Electronics,vascoelectronics,2.0,up_to_%,https://alerabat.com/kody-promocyjne/vasco-electronics
2026-08-12,Venezia,venezia,5.0,up_to_%,https://alerabat.com/kod-promocyjny/venezia
2026-08-12,Victoria's Secret,victorias-secret,2.0,up_to_%,https://alerabat.com/kody-promocyjne/victorias-secret
2026-08-12,VidaXL,vidaxl,2.5,up_to_%,https://alerabat.com/kody-promocyjne/vida-xl
2026-08-12,Vision Express,visionexpress,3.0,up_to_%,https://alerabat.com/kod-promocyjny/vision-express
2026-08-12,Vobis,vobis,1.5,up_to_%,https://alerabat.com/kod-promocyjny/vobis-pl
2026-08-12,Wolt,wolt,5.0,up_to_%,https://alerabat.com/kody-promocyjne/wolt
2026-08-12,Wrangler,wrangler,5.0,up_to_%,https://alerabat.com/kody-promocyjne/wrangler
2026-08-12,x-kom,x-kom,5.0,up_to_%,https://alerabat.com/kod-promocyjny/x-kom-pl
2026-08-12,Xiaomi,mi,1.5,up_to_%,https://alerabat.com/kody-promocyjne/xiaomi
2026-08-12,xlmoto,xlmoto,2.5,up_to_%,https://alerabat.com/kody-promocyjne/xl-moto
2026-08-12,Yanosik,yanosik,2.0,up_to_%,https://alerabat.com/kody-promocyjne/yanosik
2026-08-12,Yope,yope,4.5,up_to_%,https://alerabat.com/kody-promocyjne/yope
2026-08-12,Yves Rocher,yves-rocher,2.5,up_to_%,https://alerabat.com/kod-promocyjny/yves-rocher
2026-08-12,Zalando,zalando.pl,4.0,up_to_%,https://alerabat.com/kod-promocyjny/zalando-pl
2026-08-12,Zelmer,zelmer,3.0,up_to_%,https://alerabat.com/kody-promocyjne/zelmer
2026-08-12,Znak,znak,1.6,up_to_%,https://alerabat.com/kod-promocyjny/znak
2026-08-12,zooplus,zooplus,1.5,up_to_%,https://alerabat.com/kod-promocyjny/zooplus-pl
2026-08-12,Zwieger,zwieger,2.0,up_to_%,https://alerabat.com/kody-promocyjne/zwieger
2026-08-12,24mx,24mx,2.5,up_to_%,https://alerabat.com/kody-promocyjne/24mx
2026-08-12,4kidspoint,4kidspoint,1.75,up_to_%,https://alerabat.com/kody-promocyjne/4kidspoint-pl
2026-08-12,7way,7way,1.75,up_to_%,https://alerabat.com/kody-promocyjne/7way
2026-08-12,Orange Flex,orangeflex,5.0,up_to_%,https://alerabat.com/kody-promocyjne/orange-flex
2026-08-12,Your KAYA,yourkaya,5.0,up_to_%,https://alerabat.com/kody-promocyjne/your-kaya
2026-08-12,Airbnb,airbnb,,no cashback,https://alerabat.com/kod-promocyjny/airbnb-com
2026-08-12,Carinii,carinii,5.0,up_to_%,https://alerabat.com/kody-promocyjne/carinii
2026-08-12,Duka,duka,,no cashback,https://alerabat.com/kody-promocyjne/duka
2026-08-12,Kaufland,kaufland,5.0,up_to_%,https://alerabat.com/kody-promocyjne/kaufland
2026-08-12,Kolba,kolba,,no cashback,https://alerabat.com/kod-promocyjny/kolba-pl
2026-08-12,KROSS,kross,,no cashback,https://alerabat.com/kody-promocyjne/kross
2026-08-12,LycaMobile,lyca-mobile,10.0,up_to_%,https://alerabat.com/kody-promocyjne/lyca-mobile
2026-08-12,Mango,mango,,no cashback,https://alerabat.com/kody-promocyjne/mango
2026-08-12,Nintendo eShop,nintendo-eshop,,no cashback,https://alerabat.com/kody-promocyjne/nintendo-eshop
2026-08-12,OnePlus,oneplus,,no cashback,https://alerabat.com/kody-promocyjne/oneplus
2026-08-12,Sportofino,sportofino,,no cashback,https://alerabat.com/kody-promocyjne/sportofino
2026-08-12,Spotify,spotify,,no cashback,https://alerabat.com/kody-promocyjne/spotify
2026-08-12,Ticketmaster,ticketmaster,,no cashback,https://alerabat.com/kody-promocyjne/ticketmaster
2026-08-12,Tołpa,tolpa,1.5,up_to_%,https://alerabat.com/kod-promocyjny/tolpa
2026-08-12,Top Hi Fi,tophifi,,no cashback,https://alerabat.com/kody-promocyjne/tophifi
2026-08-12,YES,yes,,no cashback,https://alerabat.com/kody-promocyjne/yes
2026-08-12,Zegarownia,zegarownia,5.0,up_to_%,https://alerabat.com/kody-promocyjne/zegarownia
